Starting price: $8.00
On Day 1, price is $8.32
On Day 2, price is $9.07
On Day 3, price is $8.64
On Day 4, price is $8.61
On Day 5, price is $8.26
On Day 6, price is $8.65
On Day 7, price is $9.58
On Day 8, price is $9.55
On Day 9, price is $9.27
On Day 10, price is $9.03
On Day 11, price is $8.61
On Day 12, price is $8.47
On Day 13, price is $9.90
On Day 14, price is $10.41
On Day 15, price is $10.15
On Day 16, price is $10.00
On Day 17, price is $9.78
On Day 18, price is $9.56
On Day 19, price is $10.94
On Day 20, price is $11.56
On Day 21, price is $11.01
On Day 22, price is $12.35
On Day 23, price is $12.12
On Day 24, price is $11.66
On Day 25, price is $13.35
On Day 26, price is $13.15
On Day 27, price is $14.96
On Day 28, price is $16.82
On Day 29, price is $16.91
On Day 30, price is $18.66
On Day 31, price is $18.56
On Day 32, price is $21.34
On Day 33, price is $22.29
On Day 34, price is $21.65
On Day 35, price is $21.22
On Day 36, price is $22.91
On Day 37, price is $22.85
On Day 38, price is $25.03
On Day 39, price is $26.89
On Day 40, price is $27.11
On Day 41, price is $30.44
On Day 42, price is $30.18
On Day 43, price is $33.84
On Day 44, price is $32.56
On Day 45, price is $31.34
On Day 46, price is $34.13
On Day 47, price is $35.45
On Day 48, price is $34.68
On Day 49, price is $35.96
On Day 50, price is $41.16
On Day 51, price is $46.46
On Day 52, price is $45.65
On Day 53, price is $44.17
On Day 54, price is $47.42
On Day 55, price is $54.84
On Day 56, price is $54.96
On Day 57, price is $52.73
On Day 58, price is $51.60
On Day 59, price is $49.07
On Day 60, price is $46.72
On Day 61, price is $46.23
On Day 62, price is $45.84
On Day 63, price is $47.26
On Day 64, price is $49.46
On Day 65, price is $58.07
On Day 66, price is $55.88
On Day 67, price is $54.76
On Day 68, price is $54.01
On Day 69, price is $54.58
On Day 70, price is $52.67
On Day 71, price is $50.55
On Day 72, price is $53.92
On Day 73, price is $54.17
On Day 74, price is $53.46
On Day 75, price is $55.55
On Day 76, price is $53.91
On Day 77, price is $53.70
On Day 78, price is $62.45
On Day 79, price is $60.02
On Day 80, price is $57.74
On Day 81, price is $56.47
On Day 82, price is $56.02
On Day 83, price is $54.27
On Day 84, price is $53.44
On Day 85, price is $61.47
On Day 86, price is $64.87
On Day 87, price is $64.27
On Day 88, price is $73.90
On Day 89, price is $82.42
On Day 90, price is $84.36
On Day 91, price is $83.36
On Day 92, price is $80.57
On Day 93, price is $91.01
On Day 94, price is $95.21
On Day 95, price is $93.20
On Day 96, price is $98.75
On Day 97, price is $103.50
On Day 98, price is $116.86
On Day 99, price is $113.46
On Day 100, price is $111.24
On Day 101, price is $129.27
On Day 102, price is $140.31
On Day 103, price is $162.55
On Day 104, price is $162.25
On Day 105, price is $161.07
On Day 106, price is $158.88
On Day 107, price is $165.04
On Day 108, price is $161.68
On Day 109, price is $163.84
On Day 110, price is $161.48
On Day 111, price is $170.98
On Day 112, price is $167.26
On Day 113, price is $165.79
On Day 114, price is $160.78
On Day 115, price is $160.14
On Day 116, price is $155.12
On Day 117, price is $176.38
On Day 118, price is $171.37
On Day 119, price is $163.98
On Day 120, price is $158.43
On Day 121, price is $177.56
On Day 122, price is $207.28
On Day 123, price is $212.55
On Day 124, price is $207.70
On Day 125, price is $203.24
On Day 126, price is $198.96
On Day 127, price is $209.22
On Day 128, price is $208.53
On Day 129, price is $235.91
On Day 130, price is $262.25
On Day 131, price is $289.39
On Day 132, price is $335.82
On Day 133, price is $393.51
On Day 134, price is $424.67
On Day 135, price is $436.84
On Day 136, price is $498.64
On Day 137, price is $572.66
On Day 138, price is $545.61
On Day 139, price is $527.82
On Day 140, price is $507.72
On Day 141, price is $500.48
On Day 142, price is $482.97
On Day 143, price is $490.49
On Day 144, price is $468.29
On Day 145, price is $534.73
On Day 146, price is $599.80
On Day 147, price is $650.35
On Day 148, price is $750.89
On Day 149, price is $733.83
On Day 150, price is $829.31
On Day 151, price is $822.82
On Day 152, price is $886.93
On Day 153, price is $944.97
On Day 154, price is $915.90
On Day 155, price is $987.30
On Day 156, price is $943.65
On Day 157, price is $933.52
On Day 158, price is $1,070.35
